OTU	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	
03f14493dc3d83b139e248c1f169f18f	51	113	119	136	45	38	130	102	95	0	46	49	22	0	0	0	18	14	0	0	0	14	10	15	29	0	7	11	48	32	0	9	14	25	0	14	
040a36ab3c42d77f3d011f92b0400583	37	142	184	225	31	19	132	161	81	0	39	16	0	37	36	42	0	0	0	0	0	0	0	0	21	69	36	99	14	5	8	3	0	20	16	142	
040dfeefe75cc35ada08085e0796a6e7	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
041018bf606df950cf412300d67997b5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04104536632a2ca00902ad44d656780d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
042bc1d92c1068dbe0d0cd9e765c454c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04355b0f11f19d935204b8d4bcba4850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	7	0	0	0	0	6	0	8	
04368de2358c0f9d3b82c6e352ece983	39	28	26	37	24	0	33	14	0	0	37	29	75	425	441	559	100	41	124	103	94	45	51	58	361	405	218	470	45	43	243	187	224	0	533	438	
0445488795b2cac29e9369420f7208e4	0	0	24	40	0	0	0	29	0	0	20	0	48	25	43	61	34	45	0	0	0	27	23	41	0	0	31	41	0	0	193	286	218	0	329	44	
0468661d21d4f73e27d8a986a7a4a864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	
0479d7d715a60897d35b9a182b517bd1	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
047a6d34f375843ddd4d25845479d982	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04a49f91633dd5a8063c21e3410f39ff	0	138	164	204	0	0	84	107	0	0	0	0	0	66	0	120	0	0	0	0	0	0	0	0	91	0	0	0	40	23	0	0	0	0	0	0	
04b1a87b99e248377c519e97357ac600	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04be702b895fe5ed0568344daf564276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	18	21	0	6	14	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
04c3706e430c61b2258b3e6d87389f42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04cf02500edd5193b99fac2968526b83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04d85a8a0941aece12eda2c0a9d18cb5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04dce75a6c425e5be859d414799247b3	22	19	26	16	10	0	26	30	33	0	0	0	0	19	21	23	0	0	0	0	0	0	0	0	0	30	29	25	0	0	0	0	0	0	0	35	
04e01a9661335cd1aa2bd68b00db6b21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	133	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
04fbdefe525e74cffeef4884e76d0d16	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	25	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	7	11	
05209bce0dda95d87a2893e6975dc8bc	0	6	0	22	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	13	0	0	0	0	
0521e94d951d1f49535afd2ccb661641	0	0	0	0	0	0	28	0	0	0	0	0	0	28	0	35	0	0	0	0	0	0	18	0	0	0	0	25	0	0	0	0	0	0	0	0	
053c83ee5362d17797cd4eb744401104	64	61	70	0	73	83	77	85	97	0	61	109	0	50	0	0	0	0	0	0	0	0	0	0	92	70	109	51	148	239	96	147	54	208	49	0	
056a52ee556c4476f7121bd0e42aaa9c	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05a0c8d3e1ea0bc9b0499324f6640813	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05ce14596c4c739b949562e7dd53ddc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
05ce5db6589b65effbd10defff6cfd59	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	422	607	0	0	0	442	543	303	0	0	0	0	0	0	0	0	0	0	0	0	
05e16c62eb95a10560797507aba30b66	0	0	12	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	
05e4344207773da7495dcd5de8c7a858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	
05e44ecb665910ccf56d8260b19cb550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
060a2fdb64df482ac8081928a19db170	19	241	317	269	33	35	267	254	308	0	11	11	0	25	17	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	55	67	0	45	0	
06116c57df7b2a8cb381086a6e966bfa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
06144bb744af0fdd3bcf7d53350a51eb	0	0	0	10	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
062bd166c67b3e730e2c6577de5fdf3a	0	0	0	0	0	0	0	13	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
062ce343b799626f07c788c476cb9186	380	135	141	117	302	293	112	149	116	105	302	237	111	423	366	281	93	79	9	16	15	44	42	116	427	566	535	684	515	552	243	244	233	465	242	558	
062da805f3876c4c8efef5a8c38f3e5e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	
06307ffa3317225f11d1b4efc746809e	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
064df4dc0c0cfa3b15d3000d15f0e7dc	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
066bd2fc7d2b0c602699894f1d1a7549	5	0	4	0	0	0	8	0	0	0	4	5	0	9	5	6	0	0	0	0	0	0	0	0	7	0	0	0	9	0	0	0	0	0	0	0	
06824dd1b1c87f898982bc3b8371d3fd	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0690794ea2733f95c4c6151347139b92	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
06944ab9eb49ff92ee300e488d0621e4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	
06a2f0324f249fbbf717c270582e03e9	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
06c333b6fa9bb0cc1273b913b18a0b75	641	36	43	51	611	633	35	8	42	420	613	446	94	0	0	6	111	136	1003	435	564	145	109	74	609	59	60	80	873	711	18	20	14	447	20	72	
06cb1e5a276d1be6cc3ee6da505d03ed	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
06ccf59d4c8364a7db5959af2bcffa5e	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
06d1ec93e5e2890679318773b055d15d	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
06e92b22f6e15eecabce687f734faf51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	
06f097a761604b4906a2a7ecceb65f75	40	0	0	0	25	23	0	0	0	0	47	36	19	0	0	0	13	16	0	0	0	9	7	18	12	0	0	0	16	13	0	0	0	35	0	0	
0710191b17f9d933925ad81dd7e84d77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07289e46abd39b9a325780e3d45a907c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
073ac90b61be9b9ec5cbe5274bfb6a18	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
073da91cc54d7a78ce0fd199750e5603	0	0	0	0	0	0	0	0	0	0	0	18	3	0	26	1	2	4	14	11	9	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	
07508fa300ca8ffffde6f5b224f2c3c1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0778e6c69359a25eaa095c52d1f8df12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
077d45c6b7641fc08e649fac13b62a9d	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	61	13	0	0	0	56	34	59	0	0	0	0	0	0	0	0	0	0	0	0	
07c97b7080e1d9d04b5d4dbf91877b43	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	3	43	123	0	0	15	10	68	22	0	0	0	0	0	0	0	2	0	0	3	0	
07c9a0932643983f1f2875da4ce0b0ad	51	47	41	54	68	73	43	51	35	6	28	32	86	0	0	0	144	148	201	134	175	132	126	160	45	12	13	11	55	0	5	0	0	53	0	9	
07eb069b663866c4823716070ca0e79b	0	0	9	8	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
07fd4af19232350ea2d219fc2a414015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	39	0	0	0	0	0	0	0	0	
07fe146a1e0df90b9381a567078cd960	0	0	0	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	0	0	0	0	0	77	63	65	0	0	0	16	0	0	0	60	
08135439d312c5bdb27840a374c9fa92	0	0	0	0	4	0	0	0	0	0	4	3	0	0	0	0	0	0	44	77	59	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
083b9313142594d4616d2ee1a8fe2a9d	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
08438ed37bc6924563d98f514f97cdf7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
084691dd0c1424493e0d1464db4195f2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
08470f43da793b7084e07d92bc8376fa	0	49	64	106	0	0	79	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	34	31	0	0	0	
084b611af38b8f7251b4ebf70ed782d8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
087cbf29e5089df84472ad40aa653f6c	41	0	0	0	41	26	0	0	0	0	39	0	293	0	0	0	140	203	0	0	0	63	176	121	16	42	0	48	22	28	0	0	0	12	0	53	
08ba6c9f6974965df0dd2a9e0f1f1b90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
08d543f78271f69675e6d9ef4d6d9fd4	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	3	0	0	0	1	0	0	0	3	
