	sampleid	CA1	CA2	CA3	Grouping_1
1	A1	-0.49915662334298	0.580478403129912	0.0288633059712761	Class1
2	A10	-0.668677329759378	0.812612853669242	-0.195657520992518	Class1
3	A11	-0.651818517076096	0.784873085320495	-0.197664480875912	Class1
4	A12	-0.639029838729018	0.780152940357209	-0.20099701437215	Class1
5	A2	-0.478855027238165	0.600035107804831	0.0395614200980244	Class1
6	A3	-0.502345421465817	0.623685346898425	0.0478490611238689	Class1
7	A4	-0.610013685492671	0.752018965040029	-0.176826348431309	Class1
8	A5	-0.656529724213046	0.783693708237349	-0.18868017496775	Class1
9	A6	-0.692103320465395	0.825738377298165	-0.200171097361883	Class1
10	A7	-0.518940005144922	0.610596590414072	0.0586832066336594	Class1
11	A8	-0.439596675939568	0.518908199428416	0.0205728536585919	Class1
12	A9	-0.420722209259256	0.561171281334506	0.0726381258726436	Class1
13	B1	0.700406458499046	-0.0895956982943902	0.840324272835774	Class2
14	B10	-0.359609090084806	-1.16725160371521	-0.473031860538162	Class2
15	B11	-0.361323540993678	-1.14761978862061	-0.466371148542755	Class2
16	B12	-0.336625309203493	-1.10122577641397	-0.455574050370642	Class2
17	B2	0.708307991338511	-0.0644309343797044	0.908901730282754	Class2
18	B3	0.794517355867348	0.0140636970934259	0.724171898748129	Class2
19	B4	1.82023438537765	0.43675497772508	-1.11560387523887	Class2
20	B5	1.89273490103703	0.434959538969999	-1.15844942375976	Class2
21	B6	1.91271659303039	0.428404295264864	-1.27304346252227	Class2
22	B7	0.752700093534711	-0.0309109661691843	1.04967778621968	Class2
23	B8	0.753044751433852	-0.0593393419238343	0.829041783207525	Class2
24	B9	0.703214829538536	-0.0567191964489139	0.969340656475298	Class2
25	C1	0.141928908625941	-0.288122842345812	0.519996084471633	Class3
26	C10	-0.251173494665684	-0.791979644182481	-0.13601833469326	Class3
27	C11	-0.292399719258306	-0.724981062089898	-0.0406703874326962	Class3
28	C12	-0.237847052424697	-0.790067503623668	-0.111847314506864	Class3
29	C2	0.113245551244913	-0.21534719220019	0.625773322952577	Class3
30	C3	-0.0480231486003565	-0.248203734494449	0.469317876620456	Class3
31	C4	-0.423248838722002	-0.711190981810439	-0.38255343787207	Class3
32	C5	-0.446260834307825	-0.756574227877323	-0.404665089907941	Class3
33	C6	-0.442105601607593	-0.793995576619383	-0.442079276348225	Class3
34	C7	1.41798277441111e-05	-0.210301203738879	0.558521010807966	Class3
35	C8	-0.32329764428471	-0.809701552415131	-0.411832195229119	Class3
36	C9	-0.214762602134944	-0.757661331434368	-0.138944827715978	Class3
