	sampleid	PC1	PC2	PC3	Grouping_1
1	A1	-0.160009435821406	0.12504996732858	0.0206764180984642	Class1
2	A10	-0.216790453111197	0.156584147081903	-0.0401817399450822	Class1
3	A11	-0.213621980271084	0.15300046754459	-0.0518770594365808	Class1
4	A12	-0.209835329219068	0.157488500069061	-0.062816601883888	Class1
5	A2	-0.154988163289955	0.1336084160445	0.0238012984523549	Class1
6	A3	-0.161347185041815	0.138657219925015	0.0488301080526127	Class1
7	A4	-0.203107882774705	0.154288017751742	-0.0578552713045515	Class1
8	A5	-0.216838871972099	0.154489705773585	-0.0414469300550581	Class1
9	A6	-0.218410497925095	0.159158923568721	-0.022494108702567	Class1
10	A7	-0.151244781094816	0.141220886365886	0.0743281948357758	Class1
11	A8	-0.140298786731923	0.121344091508836	0.00656201339082401	Class1
12	A9	-0.137732382092118	0.141757493206857	0.0443037787835677	Class1
13	B1	0.256507560993552	0.0773176479485645	0.00255828952855608	Class2
14	B10	-0.0425714715443818	-0.225472521865158	-0.14778182494617	Class2
15	B11	-0.0441566711206955	-0.223151847403312	-0.139058752478429	Class2
16	B12	-0.0406924306443479	-0.22101496126206	-0.149831297112232	Class2
17	B2	0.255146126199984	0.0851382814530266	0.0212050308891789	Class2
18	B3	0.253103267673446	0.0946459504578371	-0.0221811935684694	Class2
19	B4	0.274698994608917	0.112884353533445	-0.177363417343976	Class2
20	B5	0.283091012283691	0.110453888052117	-0.185373546787925	Class2
21	B6	0.275425998169991	0.100395127003006	-0.189967655914899	Class2
22	B7	0.262516595333174	0.0982506943273189	0.0632529284535905	Class2
23	B8	0.259142421831577	0.0812423706724744	-0.00985611040309936	Class2
24	B9	0.256877263586555	0.0877290884486048	0.0434156577155667	Class2
25	C1	0.102955207694683	-0.0593861874651631	0.210004006260379	Class3
26	C10	-0.00723461873646371	-0.206781871464946	0.0251870441371803	Class3
27	C11	-0.0265215547206782	-0.196979978100929	0.0694733608085324	Class3
28	C12	-0.00638175085673339	-0.203705503876246	0.0238644085262504	Class3
29	C2	0.0857673325827803	-0.0381149844303609	0.257098139333997	Class3
30	C3	0.0494936197536788	-0.0579310559951797	0.25485852460404	Class3
31	C4	-0.0877141360567923	-0.220781525219306	-0.0246899714305179	Class3
32	C5	-0.0939584598665841	-0.22836060254978	-0.0272736393333127	Class3
33	C6	-0.0887463858390103	-0.233156885912136	-0.0522300182686548	Class3
34	C7	0.0599803472200795	-0.0422605368048234	0.274042282957705	Class3
35	C8	-0.0563515557806324	-0.230929205174414	-0.0694047328120855	Class3
36	C9	0.0038490365794912	-0.196677570541853	0.00822238689892173	Class3
